,Y,Upper_lim,Lower_lim
2020-01-01,2.7,5.0,-0.0
2020-01-02,5.4,9.0,1.0
2020-01-03,8.1,13.0,3.0
2020-01-04,10.8,17.0,5.0
2020-01-05,13.5,20.0,7.0
2020-01-06,16.2,24.0,9.0
2020-01-07,18.9,27.0,11.0
2020-01-08,21.6,30.0,13.0
2020-01-09,24.3,33.0,15.0
2020-01-10,27.0,37.0,17.0
2020-01-11,29.7,40.0,19.0
2020-01-12,32.5,43.0,22.0
2020-01-13,35.2,46.0,24.0
2020-01-14,37.9,50.0,26.0
2020-01-15,40.6,53.0,29.0
2020-01-16,43.3,56.0,31.0
2020-01-17,46.0,59.0,33.0
2020-01-18,48.7,62.0,35.0
2020-01-19,51.4,65.0,38.0
2020-01-20,54.1,68.0,40.0
2020-01-21,56.8,71.0,42.0
2020-01-22,59.5,74.0,45.0
2020-01-23,62.2,77.0,47.0
2020-01-24,64.9,80.0,50.0
2020-01-25,67.6,83.0,52.0
2020-01-26,70.3,86.0,54.0
2020-01-27,73.0,89.0,57.0
2020-01-28,75.7,92.0,59.0
2020-01-29,78.4,95.0,61.0
2020-01-30,81.1,98.0,64.0
2020-01-31,83.8,101.0,66.0
2020-02-01,86.5,104.0,69.0
2020-02-02,89.2,107.0,71.0
2020-02-03,91.9,110.0,73.0
2020-02-04,94.6,113.0,76.0
2020-02-05,97.4,116.0,78.0
2020-02-06,100.1,119.0,81.0
2020-02-07,102.8,122.0,83.0
2020-02-08,105.5,125.0,86.0
2020-02-09,108.2,128.0,88.0
2020-02-10,110.9,131.0,91.0
2020-02-11,113.6,134.0,93.0
2020-02-12,116.3,137.0,95.0
2020-02-13,119.0,140.0,98.0
2020-02-14,121.7,143.0,100.0
2020-02-15,124.4,146.0,103.0
2020-02-16,127.1,149.0,105.0
2020-02-17,129.8,152.0,108.0
2020-02-18,132.5,155.0,110.0
2020-02-19,135.2,158.0,113.0
2020-02-20,137.9,161.0,115.0
2020-02-21,140.6,164.0,118.0
2020-02-22,143.3,167.0,120.0
2020-02-23,146.0,170.0,122.0
2020-02-24,148.7,172.0,125.0
2020-02-25,151.4,175.0,127.0
2020-02-26,154.1,178.0,130.0
2020-02-27,156.8,181.0,132.0
2020-02-28,159.6,184.0,135.0
2020-02-29,162.3,187.0,137.0
2020-03-01,165.0,190.0,140.0
2020-03-02,167.7,193.0,142.0
2020-03-03,170.4,196.0,145.0
2020-03-04,173.1,199.0,147.0
2020-03-05,175.8,202.0,150.0
2020-03-06,178.5,205.0,152.0
2020-03-07,181.2,208.0,155.0
2020-03-08,183.9,210.0,157.0
2020-03-09,186.6,213.0,160.0
2020-03-10,189.3,216.0,162.0
2020-03-11,192.0,219.0,165.0
2020-03-12,194.7,222.0,167.0
2020-03-13,197.4,225.0,170.0
2020-03-14,200.1,228.0,172.0
2020-03-15,202.8,231.0,175.0
2020-03-16,205.5,234.0,177.0
2020-03-17,208.2,237.0,180.0
2020-03-18,210.9,239.0,182.0
2020-03-19,213.6,242.0,185.0
2020-03-20,216.3,245.0,187.0
2020-03-21,219.0,248.0,190.0
2020-03-22,221.8,251.0,192.0
2020-03-23,224.5,254.0,195.0
2020-03-24,227.2,257.0,197.0
2020-03-25,229.9,260.0,200.0
2020-03-26,232.6,263.0,203.0
2020-03-27,235.3,266.0,205.0
2020-03-28,238.0,268.0,208.0
2020-03-29,240.7,271.0,210.0
2020-03-30,243.4,274.0,213.0
2020-03-31,246.1,277.0,215.0
2020-04-01,248.8,280.0,218.0
2020-04-02,251.5,283.0,220.0
2020-04-03,254.2,286.0,223.0
2020-04-04,256.9,289.0,225.0
2020-04-05,259.6,291.0,228.0
2020-04-06,262.3,294.0,230.0
2020-04-07,265.0,297.0,233.0
2020-04-08,267.7,300.0,235.0
2020-04-09,270.4,303.0,238.0
2020-04-10,273.1,306.0,240.0
2020-04-11,275.8,309.0,243.0
2020-04-12,278.5,312.0,245.0
2020-04-13,281.2,314.0,248.0
2020-04-14,283.9,317.0,250.0
2020-04-15,286.7,320.0,253.0
2020-04-16,289.4,323.0,256.0
2020-04-17,292.1,326.0,258.0
2020-04-18,294.8,329.0,261.0
2020-04-19,297.5,332.0,263.0
2020-04-20,300.2,335.0,266.0
2020-04-21,302.9,338.0,268.0
2020-04-22,305.6,340.0,271.0
2020-04-23,308.3,343.0,273.0
2020-04-24,311.0,346.0,276.0
2020-04-25,313.7,349.0,278.0
2020-04-26,316.4,352.0,281.0
2020-04-27,319.1,355.0,283.0
2020-04-28,321.8,358.0,286.0
2020-04-29,324.5,360.0,289.0
2020-04-30,327.2,363.0,291.0
2020-05-01,329.9,366.0,294.0
2020-05-02,332.6,369.0,296.0
2020-05-03,335.3,372.0,299.0
2020-05-04,338.0,375.0,301.0
2020-05-05,340.7,378.0,304.0
2020-05-06,343.4,380.0,306.0
2020-05-07,346.1,383.0,309.0
2020-05-08,348.9,386.0,312.0
2020-05-09,351.6,389.0,314.0
2020-05-10,354.3,392.0,317.0
2020-05-11,357.0,395.0,319.0
2020-05-12,359.7,398.0,322.0
2020-05-13,362.4,401.0,324.0
2020-05-14,365.1,403.0,327.0
2020-05-15,367.8,406.0,329.0
2020-05-16,370.5,409.0,332.0
